music_id,title,rating,votes,ensemble,instrument,key,date,duration,public_domain,favorites,difficulty,pages,views,parts,link

4197961,Merry-Go-Round of Life: Howl's Moving Castle Piano Tutorial,4.77,47676,Solo Piano,['Piano'],"['B♭ major', 'G minor']","Jul 05, 2017",05:15,NE,181934,Intermediate,7,4589622,1,https://musescore.com/user/16006641/scores/4197961

3291706,River Flows In You,4.68,45503,Solo Piano,['Piano'],"['A major', 'F♯ minor']","Jan 24, 2017",02:47,NE,207886,Intermediate,4,5975850,1,https://musescore.com/user/12461571/scores/3291706

1019991,Canon in D,4.71,33989,Solo Piano,['Piano'],"['D major', 'B minor']","Jul 01, 2015",04:05,DA,137361,Intermediate,6,3275886,1,https://musescore.com/user/1809056/scores/1019991

33816,Für Elise – Beethoven,4.78,29134,Solo Piano,['Piano'],"['C major', 'A minor']","Dec 22, 2011",02:37,DA,114443,Intermediate,3,2926096,1,https://musescore.com/user/19710/scores/33816

58553,Clair de Lune – Debussy,4.82,25284,Solo Piano,['Piano'],"['D♭ major', 'B♭ minor']","Aug 05, 2012",04:36,DA,119693,Advanced,6,3261499,1,https://musescore.com/user/19710/scores/58553

4383881,Chopin - Nocturne Op 9 No 2 (E Flat Major),4.78,19789,Solo Piano,['Piano'],"['E♭ major', 'C minor']","Aug 14, 2017",03:40,DA,104385,Advanced,4,2396247,1,https://musescore.com/user/6662591/scores/4383881

4766391,Gymnopédie No. 1 – Satie,4.82,16975,Solo Piano,['Piano'],"['D major', 'B minor']","Oct 21, 2017",04:23,DA,75704,Beginner,3,1706642,1,https://musescore.com/user/19710/scores/4766391

4217351,Hallelujah,4.63,16811,Solo Piano,['Piano'],"['C major', 'A minor']","Jul 09, 2017",01:54,NE,91562,Beginner,2,1450635,1,https://musescore.com/user/21965011/scores/4217351

1749181,Waltz in A Minor(Chopin),4.79,14894,Solo Piano,['Piano'],"['C major', 'A minor']","Feb 13, 2016",02:00,DA,72799,Beginner,2,1095019,1,https://musescore.com/user/4609986/scores/1749181

1421196,Pirates of the Caribbean - He's a Pirate,4.77,14530,Solo Piano,['Piano'],"['F major', 'D minor']","Nov 18, 2015",01:19,NE,72830,Beginner,3,1223111,1,https://musescore.com/user/2830596/scores/1421196

55352,"Sonate No. 14, “Moonlight” 1st Movement",4.8,13925,Solo Piano,['Piano'],"['E major', 'C♯ minor']","Jul 06, 2012",06:16,DA,71188,Intermediate,4,1832165,1,https://musescore.com/user/19710/scores/55352

5682727,Je Te Laisserai Des Mots - Patrick Watson,4.7,11808,Solo Piano,['Piano'],"['D major', 'B minor']","Aug 20, 2019",02:30,NE,67034,Beginner,2,1426134,1,https://musescore.com/user/27024618/scores/5682727

1352796,Undertale - Megalovania [Piano] (ver. 3),4.76,11165,Solo Piano,['Piano'],"['F major', 'D minor']","Oct 31, 2015",02:36,NE,54274,Advanced,7,2035037,1,https://musescore.com/user/73972/scores/1352796

1463381,One Summer's Day (Spirited Away),4.81,11151,Solo Piano,['Piano'],"['C major', 'A minor']","Nov 29, 2015",03:31,NE,69724,Intermediate,3,1890008,1,https://musescore.com/user/2466621/scores/1463381

5619808,Passacaglia,4.82,10519,Solo Piano,['Piano'],"['C major', 'A minor']","Jun 23, 2019",02:17,DA,32983,Intermediate,3,567838,1,https://musescore.com/user/31423751/scores/5619808

33715,"Sonate No. 14, “Moonlight” 3rd Movement",4.84,10134,Solo Piano,['Piano'],"['E major', 'C♯ minor']","Dec 21, 2011",06:46,DA,53508,Advanced,12,1628401,1,https://musescore.com/user/19710/scores/33715

3022181,Carol of the Bells,4.77,9585,Solo Piano,['Piano'],"['F major', 'D minor']","Dec 03, 2016",02:01,NE,38775,Intermediate,2,728533,1,https://musescore.com/user/12287421/scores/3022181

4680761,Sweden (Minecraft),4.81,9092,Solo Piano,['Piano'],"['D major', 'B minor']","Oct 07, 2017",02:05,NE,47917,Beginner,1,1285049,1,https://musescore.com/user/2466621/scores/4680761

1798726,Interstellar-Suite - Hans Zimmer,4.82,7833,Solo Piano,['Piano'],"['C major', 'A minor']","Feb 24, 2016",14:48,NE,46394,Advanced,13,996243,1,https://musescore.com/user/1515281/scores/1798726

2163051,"Game of Thrones, Easy piano",4.68,7711,Solo Piano,['Piano'],"['E♭ major', 'C minor']","May 18, 2016",01:39,NE,59293,Beginner,3,1444189,1,https://musescore.com/user/158751/scores/2163051

142975,WA Mozart Marche Turque (Turkish March fingered),4.81,7623,Solo Piano,['Piano'],"['C major', 'A minor']","Nov 19, 2013",03:44,DA,30211,Intermediate,5,772874,1,https://musescore.com/user/73797/scores/142975

4455576,Fly Me to the Moon,4.73,7458,Solo Piano,['Piano'],"['C major', 'A minor']","Aug 29, 2017",02:05,NE,47872,Intermediate,4,857003,1,https://musescore.com/user/2538606/scores/4455576

65159,Liebestraum S. 541 No. 3 in A♭ Major – Liszt,4.85,7014,Solo Piano,['Piano'],"['A♭ major', 'F minor']","Sep 29, 2012",03:50,DA,35910,Advanced,6,912614,1,https://musescore.com/user/19710/scores/65159

1871671,Gravity Falls Opening - Intermediate Piano Solo,4.76,6699,Solo Piano,['Piano'],"['F major', 'D minor']","Mar 13, 2016",00:41,NE,53954,Beginner,2,784775,1,https://musescore.com/user/5484416/scores/1871671

1993341,Opus 27 No 2 Moonlight Sonata 1st movement,4.78,6411,Solo Piano,['Piano'],"['E major', 'C♯ minor']","Apr 12, 2016",05:25,NE,27430,Intermediate,9,583624,1,https://musescore.com/user/8927976/scores/1993341

117279,"Prelude I in C major, BWV 846 - Well Tempered Clavier [First Book]",4.79,6401,Solo Piano,['Piano'],"['C major', 'A minor']","Jul 09, 2013",01:59,DA,24352,Beginner,2,756591,1,https://musescore.com/user/101554/scores/117279

3854486,Yiruma - Kiss the Rain - 10th Anniversary Version (Piano),4.76,6215,Solo Piano,['Piano'],"['A♭ major', 'F minor']","May 05, 2017",04:40,NE,47848,Intermediate,5,1121940,1,https://musescore.com/user/48323/scores/3854486

3387831,Mariage d'Amour,4.76,5985,Solo Piano,['Piano'],"['B♭ major', 'G minor']","Feb 10, 2017",03:47,DA,29317,Intermediate,7,844217,1,https://musescore.com/user/97638/scores/3387831

5444126,Someone You Loved,4.62,5932,Solo Piano,['Piano'],"['D♭ major', 'B♭ minor']","Feb 13, 2019",02:52,NE,60409,Intermediate,3,1374776,1,https://musescore.com/user/7839851/scores/5444126

2441471,Wet Hands (Minecraft),4.84,5799,Solo Piano,['Piano'],"['A major', 'F♯ minor']","Jul 28, 2016",01:31,NE,32980,Beginner,1,913385,1,https://musescore.com/user/2466621/scores/2441471

49143,"Piano Sonata No. 11 K. 331 3rd Movement, “Rondo alla Turca”",4.83,5756,Solo Piano,['Piano'],"['C major', 'A minor']","May 18, 2012",03:44,DA,27658,Intermediate,5,789704,1,https://musescore.com/user/19710/scores/49143

3493496,Believer - Imagine Dragons,4.69,5743,Solo Piano,['Piano'],"['D♭ major', 'B♭ minor']","Mar 01, 2017",03:12,NE,57607,Intermediate,5,1185921,1,https://musescore.com/user/14152056/scores/3493496

2377386,G Minor Bach,4.81,5515,Solo Piano,['Piano'],"['B♭ major', 'G minor']","Jul 10, 2016",02:38,DA,19007,,4,553464,2,https://musescore.com/user/10919536/scores/2377386

64978,Mad world Piano,4.7,5448,Solo Piano,['Piano'],"['A♭ major', 'F minor']","Sep 27, 2012",02:47,NE,55734,Beginner,2,1098490,1,https://musescore.com/user/34478/scores/64978

106022,"Étude S. 141/3 in G♯ Minor, « La Campanella » – Liszt",4.84,5418,Solo Piano,['Piano'],"['B major', 'G♯ minor']","May 12, 2013",04:10,DA,20567,Advanced,8,954289,1,https://musescore.com/user/19710/scores/106022

162108,The Entertainer - Scott Joplin,4.79,5342,Piano Duo,['Piano'],"['C major', 'A minor']","Feb 10, 2014",04:21,DA,31595,,5,751776,2,https://musescore.com/user/167019/scores/162108

1273736,Waltz No. 2 by Shostakovich,4.75,5122,Solo Piano,['Piano'],"['E♭ major', 'C minor']","Oct 07, 2015",03:52,NE,35624,Intermediate,9,730235,1,https://musescore.com/user/5038821/scores/1273736

4369656,John Lennon - Imagine,4.68,5104,Solo Piano,['Piano'],"['C major', 'A minor']","Aug 11, 2017",03:12,NE,29123,Beginner,2,713867,1,https://musescore.com/user/6662591/scores/4369656

3332996,All Of Me - John Legend (Piano Cover - ReiK),4.68,5101,Piano Duo,['Piano'],"['A♭ major', 'F minor']","Feb 01, 2017",04:57,NE,56193,,6,1180159,2,https://musescore.com/user/10363416/scores/3332996

5960975,What falling in love feels like - jake25.17  (fanmade extended version),4.72,5051,Solo Piano,['Piano'],[],"Feb 08, 2020",,NE,29565,Intermediate,3,668384,1,https://musescore.com/user/26067266/scores/5960975

3062416,All I Want For Christmas Is You For Piano,4.63,5021,Solo Piano,['Piano'],"['G major', 'E minor']","Dec 11, 2016",03:13,NE,34286,Intermediate,4,819955,1,https://musescore.com/user/1250481/scores/3062416

5112198,Never Gonna Give You Up,4.78,4996,Solo Piano,['Piano'],"['F major', 'D minor']","May 28, 2018",03:22,NE,25762,Intermediate,4,671039,1,https://musescore.com/user/28857438/scores/5112198

